Aged,No2,Stores,Room_Avg,House_Value,Distance,Teacher_Ratio,Zone,Accesibility,Crime_Ratio,Tax,River,Lower_Income
97.900,0.597,18.100,5.617,17.200,1.455,20.200,0.000,24.000,7.404,666.000,0.000,26.400
88.200,0.547,10.010,5.928,18.300,2.463,17.800,0.000,6.000,0.171,432.000,0.000,15.760
42.800,0.447,6.410,6.854,32.000,4.267,17.600,40.000,4.000,0.096,254.000,0.000,2.980
45.000,0.437,12.830,6.286,21.400,4.503,18.700,0.000,5.000,0.095,398.000,0.000,8.940
82.900,0.718,18.100,8.780,21.900,1.905,20.200,0.000,24.000,3.474,666.000,1.000,5.290
100.000,0.871,19.580,5.403,13.400,1.321,14.700,0.000,5.000,3.321,403.000,1.000,26.820
100.000,0.871,19.580,6.130,13.800,1.419,14.700,0.000,5.000,2.379,403.000,0.000,27.800
98.500,0.871,19.580,5.709,19.400,1.623,14.700,0.000,5.000,2.149,403.000,0.000,15.790
83.700,0.713,18.100,6.301,14.900,2.783,20.200,0.000,24.000,7.752,666.000,0.000,16.230
49.000,0.447,6.410,7.267,33.200,4.787,17.600,40.000,4.000,0.105,254.000,1.000,6.050
98.800,0.671,18.100,6.794,13.300,1.358,20.200,0.000,24.000,9.824,666.000,0.000,21.240
6.200,0.413,10.810,6.245,23.400,5.287,19.200,0.000,4.000,0.195,305.000,0.000,7.540
37.800,0.544,9.900,4.973,16.100,2.520,18.400,0.000,4.000,2.636,304.000,0.000,12.640
41.100,0.437,3.440,6.782,32.000,3.788,15.200,45.000,5.000,0.079,398.000,0.000,6.680
64.500,0.443,3.330,7.820,45.400,4.694,14.900,20.000,5.000,0.036,216.000,0.000,3.760
69.600,0.445,2.890,6.163,21.400,3.495,18.000,0.000,2.000,0.115,276.000,0.000,11.340
28.900,0.464,15.040,6.211,25.000,3.666,18.200,28.000,4.000,0.029,270.000,0.000,6.210
92.600,0.693,18.100,6.193,13.800,1.791,20.200,0.000,24.000,8.645,666.000,0.000,15.170
34.200,0.394,3.750,7.454,44.000,6.336,15.900,90.000,3.000,0.015,244.000,0.000,3.110
77.800,0.693,18.100,5.852,6.300,1.500,20.200,0.000,24.000,9.917,666.000,0.000,29.970
88.400,0.713,18.100,6.376,17.700,2.567,20.200,0.000,24.000,3.693,666.000,0.000,14.650
38.100,0.515,5.190,6.316,22.200,6.458,20.200,0.000,5.000,0.051,224.000,0.000,5.680
58.700,0.464,6.960,6.538,24.400,3.918,18.600,20.000,3.000,0.114,223.000,0.000,7.730
85.500,0.448,6.910,6.030,16.600,5.690,17.900,0.000,3.000,0.229,233.000,0.000,18.800
94.500,0.647,3.970,7.327,31.000,2.079,13.000,20.000,5.000,0.825,264.000,0.000,11.250
45.800,0.458,2.180,6.998,33.400,6.062,18.700,0.000,3.000,0.032,222.000,0.000,2.940
94.600,0.605,19.580,5.875,17.400,2.426,14.700,0.000,5.000,1.208,403.000,0.000,14.430
99.300,0.713,18.100,7.393,17.800,2.453,20.200,0.000,24.000,8.248,666.000,0.000,16.740
100.000,0.668,18.100,4.138,13.800,1.137,20.200,0.000,24.000,18.498,666.000,0.000,37.970
96.000,0.693,18.100,5.349,8.300,1.703,20.200,0.000,24.000,24.802,666.000,0.000,19.770
96.700,0.520,8.560,5.851,19.500,2.107,20.900,0.000,5.000,0.133,384.000,0.000,16.470
82.800,0.544,9.900,6.266,21.600,3.263,18.400,0.000,4.000,0.269,304.000,0.000,7.900
67.200,0.544,9.900,6.382,23.100,3.532,18.400,0.000,4.000,0.402,304.000,0.000,10.360
23.300,0.438,6.060,6.031,19.400,6.641,16.900,35.000,1.000,0.035,304.000,0.000,7.830
92.600,0.605,19.580,6.250,27.000,1.798,14.700,0.000,5.000,1.273,403.000,1.000,5.500
98.400,0.624,21.890,5.757,15.600,2.346,21.200,0.000,4.000,0.976,437.000,0.000,17.310
39.000,0.524,7.870,5.889,21.700,5.451,15.200,12.500,5.000,0.094,311.000,0.000,15.710
100.000,0.871,19.580,5.468,15.600,1.412,14.700,0.000,5.000,4.097,403.000,0.000,26.420
94.900,0.871,19.580,5.597,15.400,1.526,14.700,0.000,5.000,2.734,403.000,0.000,21.450
98.300,0.713,18.100,6.417,13.000,2.185,20.200,0.000,24.000,7.526,666.000,0.000,19.310
84.600,0.647,3.970,7.014,30.700,2.133,13.000,20.000,5.000,0.786,264.000,0.000,14.790
38.900,0.437,3.440,7.185,34.900,4.567,15.200,45.000,5.000,0.084,398.000,0.000,5.390
94.700,0.624,21.890,5.637,14.300,1.980,21.200,0.000,4.000,0.881,437.000,0.000,18.340
45.600,0.405,5.320,6.315,22.300,7.317,16.600,52.500,6.000,0.046,293.000,0.000,7.600
18.400,0.437,13.920,6.127,23.900,5.503,16.000,0.000,4.000,0.083,289.000,0.000,8.580
13.000,0.431,5.860,6.487,24.400,7.397,19.100,22.000,7.000,0.140,330.000,0.000,5.900
94.700,0.693,18.100,5.887,12.700,1.782,20.200,0.000,24.000,13.360,666.000,0.000,16.350
100.000,0.597,18.100,6.657,17.200,1.527,20.200,0.000,24.000,14.051,666.000,0.000,21.220
9.900,0.401,2.930,6.800,31.100,6.220,15.600,60.000,1.000,0.022,265.000,0.000,5.030
76.700,0.573,11.930,6.120,20.600,2.288,21.000,0.000,1.000,0.045,273.000,0.000,9.080
36.900,0.445,2.890,7.820,43.800,3.495,18.000,0.000,2.000,0.082,276.000,0.000,3.570
98.300,0.609,27.740,5.414,7.000,1.755,20.100,0.000,4.000,0.183,711.000,0.000,23.970
100.000,0.693,18.100,4.519,7.000,1.658,20.200,0.000,24.000,45.746,666.000,0.000,36.980
70.400,0.507,6.200,8.247,48.300,3.652,17.400,0.000,8.000,0.332,307.000,0.000,3.950
80.800,0.507,6.200,6.618,30.100,3.272,17.400,0.000,8.000,0.615,307.000,0.000,7.600
88.500,0.510,4.050,5.572,23.100,2.596,16.600,0.000,5.000,0.139,296.000,0.000,14.690
77.000,0.532,18.100,7.061,25.000,3.411,20.200,0.000,24.000,5.731,666.000,0.000,7.010
52.300,0.442,4.390,5.898,17.200,8.014,18.800,0.000,3.000,0.062,352.000,0.000,12.670
95.700,0.871,19.580,4.926,14.600,1.461,14.700,0.000,5.000,2.369,403.000,0.000,29.530
97.300,0.871,19.580,6.122,21.500,1.618,14.700,0.000,5.000,1.657,403.000,0.000,14.100
17.500,0.413,10.810,5.961,21.700,5.287,19.200,0.000,4.000,0.159,305.000,0.000,9.880
97.700,0.624,21.890,6.326,19.600,2.271,21.200,0.000,4.000,1.193,437.000,0.000,12.260
62.200,0.488,2.460,6.144,36.200,2.598,17.800,0.000,3.000,0.069,193.000,0.000,9.450
35.700,0.410,0.740,6.383,24.700,9.188,17.300,85.000,2.000,0.021,313.000,0.000,5.770
13.900,0.403,1.470,7.135,32.900,7.653,17.000,95.000,3.000,0.018,402.000,0.000,4.450
82.600,0.871,19.580,6.152,15.600,1.745,14.700,0.000,5.000,3.535,403.000,1.000,15.020
84.200,0.547,10.010,6.254,18.500,2.257,17.800,0.000,6.000,0.142,432.000,0.000,10.450
100.000,0.700,18.100,4.880,10.200,1.590,20.200,0.000,24.000,14.334,666.000,0.000,30.620
16.300,0.464,6.960,6.240,25.200,4.429,18.600,20.000,3.000,0.162,223.000,0.000,6.590
100.000,0.631,18.100,3.863,23.100,1.510,20.200,0.000,24.000,13.522,666.000,0.000,13.330
82.900,0.524,7.870,6.009,18.900,6.227,15.200,12.500,5.000,0.118,311.000,0.000,13.270
69.500,0.538,8.140,5.727,18.200,3.797,21.000,0.000,4.000,0.726,307.000,0.000,11.280
100.000,0.693,18.100,6.343,7.200,1.574,20.200,0.000,24.000,14.236,666.000,0.000,20.320
100.000,0.597,18.100,5.155,16.300,1.589,20.200,0.000,24.000,28.656,666.000,0.000,20.080
87.300,0.538,8.140,6.674,21.000,4.239,21.000,0.000,4.000,1.003,307.000,0.000,11.980
67.800,0.453,5.130,6.456,22.200,7.225,19.700,25.000,8.000,0.110,284.000,0.000,6.730
42.200,0.428,4.930,6.606,23.300,6.190,16.600,30.000,6.000,0.092,300.000,0.000,7.370
70.600,0.585,9.690,5.794,18.300,2.893,19.200,0.000,6.000,0.269,391.000,0.000,14.100
79.200,0.605,19.580,5.877,23.800,2.426,14.700,0.000,5.000,1.800,403.000,0.000,12.140
38.400,0.415,2.030,6.162,24.100,6.270,14.700,82.500,2.000,0.034,348.000,0.000,7.430
85.700,0.538,8.140,5.599,13.900,4.455,21.000,0.000,4.000,0.841,307.000,0.000,16.510
49.700,0.443,3.330,7.645,46.000,5.212,14.900,20.000,5.000,0.061,216.000,1.000,3.010
95.400,0.624,21.890,5.822,18.400,2.470,21.200,0.000,4.000,0.330,437.000,0.000,15.030
66.500,0.507,6.200,6.726,29.000,3.652,17.400,0.000,8.000,0.448,307.000,1.000,8.050
27.700,0.429,4.150,6.516,23.100,8.535,17.900,85.000,4.000,0.019,351.000,0.000,6.360
86.500,0.504,6.200,8.040,37.600,3.216,17.400,0.000,8.000,0.382,307.000,0.000,3.130
32.000,0.422,0.460,7.875,50.000,5.648,14.400,80.000,4.000,0.014,255.000,0.000,2.970
46.300,0.515,5.190,5.869,19.500,5.231,20.200,0.000,5.000,0.034,224.000,0.000,9.800
30.200,0.499,5.960,5.966,24.700,3.847,19.200,0.000,5.000,0.175,279.000,0.000,10.130
72.900,0.585,9.690,5.390,19.700,2.799,19.200,0.000,6.000,0.290,391.000,0.000,21.140
58.400,0.488,2.460,6.980,37.200,2.829,17.800,0.000,3.000,0.058,193.000,0.000,5.040
94.300,0.584,18.100,6.833,14.100,2.088,20.200,0.000,24.000,10.062,666.000,0.000,19.690
95.400,0.584,18.100,5.427,13.800,2.430,20.200,0.000,24.000,8.056,666.000,0.000,18.140
94.500,0.584,18.100,6.003,19.100,2.540,20.200,0.000,24.000,4.422,666.000,0.000,21.320
84.400,0.713,18.100,6.081,20.000,2.717,20.200,0.000,24.000,6.801,666.000,0.000,14.700
21.400,0.439,5.640,5.998,23.400,6.815,16.800,21.000,4.000,0.050,243.000,0.000,8.430
94.800,0.740,18.100,6.459,11.800,1.988,20.200,0.000,24.000,10.672,666.000,0.000,23.980
79.200,0.431,5.860,6.226,20.500,8.056,19.100,22.000,7.000,0.197,330.000,0.000,10.150
81.800,0.647,3.970,7.203,33.800,2.112,13.000,20.000,5.000,0.540,264.000,0.000,9.590
95.600,0.679,18.100,6.380,9.500,1.968,20.200,0.000,24.000,9.339,666.000,0.000,24.080
93.800,0.550,13.890,5.951,21.500,2.889,16.400,0.000,5.000,0.111,276.000,1.000,17.920
94.000,0.871,19.580,5.272,13.100,1.736,14.700,0.000,5.000,2.447,403.000,0.000,16.140
96.900,0.538,8.140,6.096,13.500,3.760,21.000,0.000,4.000,1.613,307.000,0.000,20.340
97.200,0.740,18.100,6.406,17.100,2.065,20.200,0.000,24.000,9.724,666.000,0.000,19.520
78.100,0.679,18.100,6.193,11.000,1.936,20.200,0.000,24.000,7.367,666.000,0.000,21.520
74.900,0.532,18.100,6.750,23.700,3.332,20.200,0.000,24.000,5.708,666.000,0.000,7.740
